Time,Power
08/07/2017 00:15,17.35
08/07/2017 00:30,17.06
08/07/2017 00:45,18
08/07/2017 01:00,17.39
08/07/2017 01:15,16.81
08/07/2017 01:30,17.82
08/07/2017 01:45,16.6
08/07/2017 02:00,17.68
08/07/2017 02:15,17.5
08/07/2017 02:30,17.42
08/07/2017 02:45,16.67
08/07/2017 03:00,17.42
08/07/2017 03:15,16.81
08/07/2017 03:30,17.68
08/07/2017 03:45,17.24
08/07/2017 04:00,19.15
08/07/2017 04:15,18.72
08/07/2017 04:30,20.16
08/07/2017 04:45,17.89
08/07/2017 05:00,17.64
08/07/2017 05:15,19.58
08/07/2017 05:30,18.54
08/07/2017 05:45,18.22
08/07/2017 06:00,18.76
08/07/2017 06:15,19.76
08/07/2017 06:30,18.4
08/07/2017 06:45,17.42
08/07/2017 07:00,16.96
08/07/2017 07:15,19.84
08/07/2017 07:30,21.02
08/07/2017 07:45,20.27
08/07/2017 08:00,20.2
08/07/2017 08:15,23.33
08/07/2017 08:30,26.1
08/07/2017 08:45,32.11
08/07/2017 09:00,34.24
08/07/2017 09:15,34.2
08/07/2017 09:30,31.75
08/07/2017 09:45,30.92
08/07/2017 10:00,31.93
08/07/2017 10:15,31.68
08/07/2017 10:30,34.99
08/07/2017 10:45,32.76
08/07/2017 11:00,29.74
08/07/2017 11:15,30.2
08/07/2017 11:30,29.27
08/07/2017 11:45,27.83
08/07/2017 12:00,26.35
08/07/2017 12:15,25.49
08/07/2017 12:30,23.47
08/07/2017 12:45,25.67
08/07/2017 13:00,26.42
08/07/2017 13:15,23.62
08/07/2017 13:30,26.06
08/07/2017 13:45,26.21
08/07/2017 14:00,23.29
08/07/2017 14:15,24.16
08/07/2017 14:30,22.14
08/07/2017 14:45,22.03
08/07/2017 15:00,24.48
08/07/2017 15:15,25.02
08/07/2017 15:30,23.72
08/07/2017 15:45,25.52
08/07/2017 16:00,26.21
08/07/2017 16:15,28.73
08/07/2017 16:30,28.73
08/07/2017 16:45,31.79
08/07/2017 17:00,30.31
08/07/2017 17:15,29.63
08/07/2017 17:30,29.84
08/07/2017 17:45,33.98
08/07/2017 18:00,33.52
08/07/2017 18:15,27.25
08/07/2017 18:30,28.19
08/07/2017 18:45,27.97
08/07/2017 19:00,26.57
08/07/2017 19:15,28.19
08/07/2017 19:30,27.72
08/07/2017 19:45,24.8
08/07/2017 20:00,28.66
08/07/2017 20:15,25.24
08/07/2017 20:30,22.57
08/07/2017 20:45,24.73
08/07/2017 21:00,24.08
08/07/2017 21:15,21.13
08/07/2017 21:30,22.86
08/07/2017 21:45,21.96
08/07/2017 22:00,20.59
08/07/2017 22:15,17.82
08/07/2017 22:30,19.4
08/07/2017 22:45,18.32
08/07/2017 23:00,19.08
08/07/2017 23:15,17.03
08/07/2017 23:30,18.5
08/07/2017 23:45,17.82
08/07/2017 00:00,18.32
08/08/2017 00:15,18.32
08/08/2017 00:30,16.99
08/08/2017 00:45,18.65
08/08/2017 01:00,17.39
08/08/2017 01:15,18.9
08/08/2017 01:30,18
08/08/2017 01:45,19.91
08/08/2017 02:00,17.32
08/08/2017 02:15,19.12
08/08/2017 02:30,17.68
08/08/2017 02:45,18.36
08/08/2017 03:00,18.86
08/08/2017 03:15,17.96
08/08/2017 03:30,17.96
08/08/2017 03:45,18.83
08/08/2017 04:00,17.46
08/08/2017 04:15,19.04
08/08/2017 04:30,16.7
08/08/2017 04:45,19.3
08/08/2017 05:00,18.4
08/08/2017 05:15,18.97
08/08/2017 05:30,17.89
08/08/2017 05:45,18.07
08/08/2017 06:00,19.73
08/08/2017 06:15,18.11
08/08/2017 06:30,18.18
08/08/2017 06:45,17.68
08/08/2017 07:00,17.14
08/08/2017 07:15,19.44
08/08/2017 07:30,18.9
08/08/2017 07:45,21.82
08/08/2017 08:00,19.55
08/08/2017 08:15,20.41
08/08/2017 08:30,26.03
08/08/2017 08:45,27.54
08/08/2017 09:00,31.03
08/08/2017 09:15,35.86
08/08/2017 09:30,29.45
08/08/2017 09:45,32.51
08/08/2017 10:00,36.29
08/08/2017 10:15,35.5
08/08/2017 10:30,25.42
08/08/2017 10:45,30.35
08/08/2017 11:00,27.32
08/08/2017 11:15,32.08
08/08/2017 11:30,32.04
08/08/2017 11:45,31.32
08/08/2017 12:00,27.47
08/08/2017 12:15,28.66
08/08/2017 12:30,28.26
08/08/2017 12:45,29.74
08/08/2017 13:00,28.66
08/08/2017 13:15,32.36
08/08/2017 13:30,28.4
08/08/2017 13:45,27.54
08/08/2017 14:00,23
08/08/2017 14:15,21.96
08/08/2017 14:30,24.55
08/08/2017 14:45,27.11
